Jahr;Gesamt;Einpersonen;Zweipersonen;Dreipersonen;Vierpersonen;Fuenf und mehr Personen
2014;40223;40,8;34,4;12,4;9,1;3,3
2013;39933;40,5;34,4;12,5;9,2;3,3
2012;39707;40,2;34,4;12,6;9,4;3,4
2011;39509;40,2;34,2;12,7;9,6;3,4
2010;40301;40,2;34,2;12,6;9,5;3,4
2009;40188;39,8;34,2;12,8;9,7;3,6
2008;40076;39,4;34;13,1;9,9;3,6
2007;39722;38,7;34;13,4;10,3;3,7
2006;39766;38,8;33,6;13,5;10,3;3,7
2005;39178;37,5;33,9;14;10,8;3,9
2004;39122;37,2;34,1;13,8;10,8;4,1
2003;38944;37;33,8;14;11;4,2
2002;38720;36,7;33,7;14,2;11,1;4,2
2001;38456;36,6;33,6;14,3;11,3;4,3
2000;38124;36,1;33,4;14,7;11,5;4,4
1999;37795;35,7;33,2;14,9;11,8;4,4
1998;37532;35,4;33;15;12,1;4,5
1997;37457;35,4;32,6;15,3;12,1;4,6
1996;37281;35,4;32,3;15,5;12,2;4,6
1995;36938;34,9;32,1;15,8;12,4;4,7
1994;36695;34,7;31,7;16,1;12,7;4,8
1993;36230;34,2;31,4;16,5;13;4,9
1992;35700;33,7;31,2;16,9;13,2;4,9
1991;35256;33,6;30,8;17,1;13,5;5
1990;28175;35;30,2;16,7;12,8;5,3
1989;27793;35,3;30,1;16,8;12,6;5,3
1988;27403;34,9;30;16,9;12,7;5,5
1987;27006;34,6;29,7;17,1;12,8;5,8
1986;26739;34,3;29,5;17,1;13,1;6
1985;26367;33,6;29,8;17,1;13,2;6,3
1984;;;;;;
1983;;;;;;
1982;25336;31,3;28,7;17,7;14,4;8
1981;25100;30,8;28,7;17,5;14,5;8,5
1980;24811;30,2;28,7;17,7;14,6;8,8
1979;24486;30;28,5;17,7;14,6;9,2
1978;24221;29,3;28,5;18;14,8;9,5
1977;24165;29,2;28,3;18,1;14,6;9,8
1976;23943;28,7;28,4;18;14,8;10,1
1975;23722;27,6;28,4;18,3;15;10,6
1974;23651;27,2;28,4;18,7;14,7;11
1973;23233;26,1;28,1;19;15,1;11,7
1972;22994;26,2;27,9;18,9;15;12
1971;22852;26,7;27,3;19;15,1;11,8
1970;21991;25,1;27,1;19,6;15,2;12,9
1969;22287;25,8;27,3;19,6;15;12,3
1968;22021;25,1;27,5;20;15,1;12,2
1967;21670;25;28,1;20,1;14,9;11,9
1966;21540;23,9;27,7;20,7;15,3;12,4
1965;21211;24,2;28,3;20,9;14,8;11,7
1964;20848;23,3;27,9;21,6;15,1;12,2
1963;20273;22,7;28,3;22,1;15,1;11,9
1962;20179;22,3;28,7;22,2;15;11,8
1961;19460;20,6;26,5;22,6;16;14,3
